created_at,match_date,tournament,surface,player,opponent,confidence,predicted_winner,normalized_player,history_matches,reasons
2026-06-26T20:30:04Z,2026-06-27,UTR Knoxville W01,Unknown,A. Aulia,M. Deatherage,0.504,A. Aulia,a aulia,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Newport Beach Men 15,Unknown,A. Bain,N. Ung,0.504,A. Bain,a bain,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest M01,Unknown,A. Belkovics,S. Harrison,0.504,S. Harrison,a belkovics,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Newport Beach Men 15,Unknown,A. Eliscu,A. Hayduke II,0.504,A. Hayduke II,a eliscu,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Newport Beach Women 15,Unknown,A. Grechkina,L. Pradkin,0.504,A. Grechkina,a grechkina,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Newport Beach Women 15,Unknown,A. Harmon,S. Webster,0.504,S. Webster,a harmon,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Newport Beach Men 15,Unknown,A. Hayduke II,A. Eliscu,0.504,A. Hayduke II,a hayduke ii,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest W01,Unknown,A. Jadue,A. Zyryanova,0.504,A. Jadue,a jadue,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest M01,Unknown,A. Jilly,V. Breazu,0.504,V. Breazu,a jilly,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Newport Beach Men 15,Unknown,A. Li,G. Hakopian,0.504,A. Li,a li,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR Budapest M01,Unknown,A. Major,K. Halmos,0.504,A. Major,a major,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
2026-06-26T20:30:04Z,2026-06-27,UTR PTT Newport Beach Women 15,Unknown,A. Murthy,A. Shcherbinina,0.504,A. Murthy,a murthy,0,low_confidence;unknown_surface;initialed_name;not_found_in_history
