created_at,status,player,normalized_player,history_matches,source_prediction_date,source_tournament,source_surface,source_confidence,reasons,notes
2026-06-26T20:30:04Z,needs_enrichment,A. Aulia,a aulia,0,2026-06-27,UTR Knoxville W01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,A. Bain,a bain,0,2026-06-27,UTR PTT Newport Beach Men 15,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,A. Belkovics,a belkovics,0,2026-06-27,UTR Budapest M01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,A. Eliscu,a eliscu,0,2026-06-27,UTR PTT Newport Beach Men 15,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,A. Grechkina,a grechkina,0,2026-06-27,UTR PTT Newport Beach Women 15,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,A. Harmon,a harmon,0,2026-06-27,UTR PTT Newport Beach Women 15,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,A. Hayduke II,a hayduke ii,0,2026-06-27,UTR PTT Newport Beach Men 15,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,A. Jadue,a jadue,0,2026-06-27,UTR Budapest W01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,A. Jilly,a jilly,0,2026-06-27,UTR Budapest M01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,A. Li,a li,0,2026-06-27,UTR PTT Newport Beach Men 15,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,A. Major,a major,0,2026-06-27,UTR Budapest M01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,A. Murthy,a murthy,0,2026-06-27,UTR PTT Newport Beach Women 15,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,A. Shannon,a shannon,0,2026-06-27,UTR Knoxville W01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,A. Shcherbinina,a shcherbinina,0,2026-06-27,UTR PTT Newport Beach Women 15,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,A. Tarrio Ponte,a tarrio ponte,0,2026-06-27,UTR PTT Umag Men 02,Clay,0.504,low_confidence;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,A. Wolf,a wolf,0,2026-06-27,UTR PTT Newport Beach Women 15,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,A. Zamani,a zamani,0,2026-06-27,UTR PTT Waco Men 01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,A. Zyryanova,a zyryanova,0,2026-06-27,UTR Budapest W01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,B. Anderson,b anderson,0,2026-06-27,UTR PTT Newport Beach Men 15,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
2026-06-26T20:30:04Z,needs_enrichment,B. Kisantal,b kisantal,0,2026-06-27,UTR Budapest M01,Unknown,0.504,low_confidence;unknown_surface;initialed_name;not_found_in_history,Do not merge into main history before external source validation.
