date,tournament,tournament_level,surface,round,winner,loser,score,best_of,winner_rank,loser_rank,minutes,tour,aces,double_faults,first_serve_pct,first_serve_points_won,second_serve_points_won,break_points_saved,break_points_converted,total_points_won
20240101,Brisbane,250,Hard,R32,Grigor Dimitrov,Andy Murray,4-6 7-5 6-2,3,14.0,42.0,147.0,ATP,13.0,2.0,51.0,42.0,16.0,3.0,5.0,Unknown
20240101,Brisbane,250,Hard,R32,Daniel Altmaier,Li Tu,7-6(5) 7-6(4),3,56.0,225.0,121.0,ATP,7.0,1.0,55.0,42.0,17.0,0.0,0.0,Unknown
20240101,Brisbane,250,Hard,R32,Rinky Hijikata,Thanasi Kokkinakis,7-6(8) 6-2,3,71.0,65.0,97.0,ATP,4.0,1.0,39.0,33.0,16.0,2.0,2.0,Unknown
20240101,Brisbane,250,Hard,R32,Tomas Machac,Tomas Martin Etcheverry,6-7(5) 7-5 7-6(1),3,78.0,30.0,189.0,ATP,5.0,1.0,70.0,57.0,21.0,4.0,6.0,Unknown
20240101,Brisbane,250,Hard,R32,Ugo Humbert,Alex Michelsen,6-4 6-4,3,20.0,97.0,95.0,ATP,4.0,1.0,29.0,24.0,19.0,2.0,2.0,Unknown
20240101,Brisbane,250,Hard,R32,Jordan Thompson,Aleksandar Vukic,6-3 6-2,3,55.0,62.0,96.0,ATP,7.0,1.0,28.0,23.0,11.0,0.0,1.0,Unknown
20240101,Brisbane,250,Hard,R32,Rafael Nadal,Dominic Thiem,7-5 6-1,3,672.0,98.0,89.0,ATP,3.0,1.0,31.0,28.0,12.0,0.0,0.0,Unknown
20240101,Brisbane,250,Hard,R32,Jason Kubler,Aslan Karatsev,6-4 6-7(4) RET,3,102.0,35.0,143.0,ATP,5.0,1.0,49.0,31.0,13.0,6.0,9.0,Unknown
20240101,Brisbane,250,Hard,R32,Lukas Klein,Sebastian Baez,4-6 6-3 6-4,3,170.0,28.0,134.0,ATP,9.0,2.0,51.0,38.0,18.0,3.0,5.0,Unknown
20240101,Brisbane,250,Hard,R32,Matteo Arnaldi,Marton Fucsovics,6-7(5) 6-4 7-6(7),3,44.0,59.0,187.0,ATP,6.0,2.0,66.0,48.0,39.0,2.0,2.0,Unknown
20240101,Brisbane,250,Hard,R32,Alexei Popyrin,Christopher O'Connell,6-4 6-7(5) 7-6(4),3,40.0,68.0,185.0,ATP,12.0,2.0,68.0,55.0,23.0,4.0,5.0,Unknown
20240101,Brisbane,250,Hard,R32,Roman Safiullin,Ben Shelton,6-3 6-7(5) 6-3,3,39.0,17.0,157.0,ATP,8.0,6.0,50.0,44.0,28.0,5.0,5.0,Unknown
20240101,Brisbane,250,Hard,R32,Yannick Hanfmann,Sebastian Korda,7-5 6-4,3,51.0,24.0,96.0,ATP,4.0,0.0,50.0,35.0,9.0,3.0,4.0,Unknown
20240101,Brisbane,250,Hard,R32,James Duckworth,J.J. Wolf,6-3 6-4,3,116.0,53.0,63.0,ATP,7.0,0.0,36.0,31.0,11.0,1.0,1.0,Unknown
20240101,Brisbane,250,Hard,R32,Alexander Shevchenko,Luca Van Assche,6-3 6-2,3,48.0,90.0,75.0,ATP,6.0,0.0,35.0,26.0,13.0,2.0,2.0,Unknown
